,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
83,1.073,9.526,1510000000.0,1.553,0.015,2004-05-12 18:03:39,0.0,1.57,14.61,7.50,26510000000.0,14.61,3.50,26.42,4050000000.0,1.99,72.48,26980000000.0,94035000.0,19.84,2.93,45.7,4.92,3.65,12.40,4.31,17.45,3.50,2.00,12.644,1097.280029,623000.0,1.08,2.9,underperform,adp,1230000000.0,2.08,8205000.0,29.11,1084399419.0,0.0,0.0
84,0.64,12.15,23170000000.0,1.07,0.57,2011-08-05 04:11:51,-6.5388666000711435,2.52,10.81,16.30,23170000000.0,10.81,2.34,15.75,3900000000.0,0.17,74.70,23170000000.0,1250000000.0,18.47,1.66,47.0,4.09,2.49,12.70,3.73,21.83,2.34,14.50,20.02,1199.380005,495000.0,1.00,1.90,underperform,adp,1430000000.0,2.88,3420000.0000000005,19.00,1312531911.0,9.304824046879649,2.7659574468085046
85,0.74,12.33,1800000000.0,1.10,0.61,2012-01-04 00:07:51,-1.03565318262004,2.57,11.58,8.70,25160000000.0,11.58,2.47,17.97,4150000000.0000005,0.17,74.70,25160000000.0,1280000000.0,18.19,1.95,54.0,4.38,2.59,12.57,3.93,21.71,2.47,13.10,20.65,1277.300049,507000.0,1.00,2.10,underperform,adp,1270000000.0,2.60,3650000.0,21.19,1325653671.0,16.406023552990405,15.370370370370365
86,0.77,12.64,1810000000.0,1.08,0.58,2012-04-20 21:07:33,-8.722470093282908,2.71,11.58,20.90,25480000000.0,11.58,2.46,18.22,4150000000.0000005,0.17,75.80,25480000000.0,1340000000.0,18.17,1.99,55.0,4.32,2.59,12.98,3.61,22.47,2.46,7.40,21.07,1378.530029,480000.0,1.00,2.30,underperform,adp,1360000000.0,2.76,3600000.0,20.31,1334970453.0,25.63156100237381,16.909090909090903
87,0.84,13.20,1900000000.0,1.07,0.27,2012-07-26 00:02:28,-7.03557080497005,2.78,10.77,6.70,25350000000.0,10.77,2.41,18.53,4150000000.0000005,0.16,75.90,25350000000.0,1370000000.0,19.32,2.10,55.0,4.19,2.56,13.02,3.14,21.69,2.41,6.80,21.53,1360.02002,555000.0,1.10,2.50,underperform,adp,1690000000.0,3.46,1730000.0,19.95,1343275348.0,23.944661714060953,16.909090909090903
88,0.83,13.00,1530000000.0,1.07,7.29,2013-02-06 18:15:11,-13.972874292450413,2.83,12.28,0.90,29030000000.0,12.28,2.69,18.95,4430000000.0,0.19,76.00,29030000000.0,1390000000.0,18.89,2.22,60.0,4.71,2.75,12.87,4.39,22.59,2.69,5.90,22.23,1512.119995,448000.00000000006,0.90,2.30,underperform,adp,1150000000.0,2.38,45900000.0,21.34,1360192511.0,37.80620762578374,23.83333333333333
89,0.83,13.19,1550000000.0,1.08,0.46,2013-04-23 04:13:36,-14.188924743756264,2.87,15.85,4.20,30250000000.0,15.85,2.88,20.60,4430000000.0,0.19,77.40,30250000000.0,1370000000.0,15.10,2.45,65.0,4.94,3.01,13.39,3.01,21.78,2.88,7.90,21.66,1578.780029,670000.0,1.40,3.40,underperform,adp,1420000000.0,2.93,2930000.0,22.85,1366704816.0,43.881232436063954,29.69230769230769
90,0.83,13.19,1550000000.0,1.08,0.46,2013-04-26 14:37:22,-13.438978283598725,2.87,15.85,4.20,30250000000.0,15.85,2.88,20.92,4430000000.0,0.19,77.40,30250000000.0,1370000000.0,15.10,2.48,66.0,5.06,3.08,13.39,3.01,21.78,2.88,7.90,21.66,1582.23999,670000.0,1.40,3.40,underperform,adp,1420000000.0,2.93,2930000.0,23.20,1367001442.0,44.19655404117448,30.757575757575754
91,1.032,5.614,25795999.999999996,1.614,1.614,2004-06-20 07:36:21,43.27418691638526,1.246,26.8,277.10,4120000000.0,26.8,3.96,23.04,80352000.0,4.76,87.77,4470000000.0,15531000.0,14.74,1.53,39.4,6.97,4.27,14.95,16.10,25.50,3.96,15.40,8.332,1132.050049,321000.0,2.97,1.783,outperform,adsk,35393000.0,3.12,1.614,31.62,1087731381.0,9.923782626761938,53.1979695431472
92,1.06,5.614,25795999.999999996,1.614,1.614,2004-08-03 23:39:21,47.07228696279436,1.246,26.86,277.10,4130000000.0,26.86,3.97,23.37,80352000.0,4.76,88.88,4540000000.0,15531000.0,14.74,1.54,39.96,7.03,4.31,14.95,16.10,25.50,3.97,15.40,8.332,1099.689941,458000.0,4.24,2.112,outperform,adsk,35393000.0,3.12,1.614,32.07,1091590761.0,6.781566891059492,53.85385385385385
93,1.315,2.847,37313000.0,1.637,1.637,2005-04-19 09:08:08,29.874601705344343,0.89,23.33,84.10,6690000000.0,23.33,5.42,24.76,1060000000.0,2.15,87.25,7230000000.0,22151000.0,19.04,1.65,31.69,11.13,5.86,17.95,20.97,34.17,5.42,29.60,4.985,1152.780029,415000.00000000006,1.86,1.359,outperform,adsk,53269000.00000001,2.34,1.637,35.49,1113916088.0,11.93669523375316,41.8112969390975
