,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
126,2.337,3.232,32704000.000000004,3.595,3.595,2005-02-04 08:02:17,-12.567241737767484,0.72,18.49,70.00,5820000000.0,18.49,5.73,24.19,56133000.00000001,1.15,83.96,7030000000.0,27511000.0,30.99,1.62,18.87,5.94,7.19,27.07,17.13,23.54,5.73,16.20,2.658,1203.030029,1341000.0,3.64,2.27,underperform,altr,1200000000.0,3.23,3.595,26.21,1107522137.0,6.048958748896259,-6.518282988871225
127,2.659,3.505,31399000.0,3.356,3.356,2005-05-02 10:15:47,0.5928683628706475,0.74,20.39,77.30,6430000000.0,20.39,6.20,23.29,70620000.0,1.13,85.64,7720000000.0,28012000.0,30.39,1.42,20.73,5.91,7.43,26.98,16.78,23.15,6.20,22.90,2.726,1162.160034,1412000.0,3.84,2.455,outperform,altr,1210000000.0,3.25,3.356,28.17,1115043347.0,2.4462054432074956,3.039073806078143
128,1.27,9.30,95960000.0,3.91,16.70,2012-03-09 05:22:40,24.83136419103307,2.35,10.26,36.70,9040000000.0,10.26,4.38,16.71,1450000000.0,0.22,93.90,9040000000.0,77071000.0,41.13,1.93,37.0,4.00,5.80,37.33,13.20,28.99,4.38,17.60,6.41,1370.869995,565000.0,1.80,1.20,outperform,altr,3440000000.0,10.66,50000000.0,15.92,1331288560.0,20.8443114846426,45.67567567567567
129,1.37,10.43,58721000.0,6.78,15.00,2013-02-06 17:54:59,7.58663537173895,1.72,13.54,17.60,8510000000.0,13.54,4.77,18.08,1450000000.0,0.28,93.30,8510000000.0,55680999.99999999,33.16,1.82,34.0,3.31,6.18,31.23,8.27,17.60,4.77,4.00,5.56,1512.119995,434999.99999999994,1.40,1.50,outperform,altr,3020000000.0,9.44,50000000.0,20.08,1360191299.0,33.295717569437514,40.882352941176464
130,1.45,10.78,64692999.99999999,6.72,14.49,2013-06-02 09:56:44,-6.747895610636775,1.74,12.67,3.80,8010000000.0,12.67,4.43,18.88,1240000000.0,0.29,93.70,8010000000.0,56116000.0,32.73,1.92,33.0,3.12,5.94,31.01,8.06,17.09,4.43,7.00,5.65,1654.410034,415000.00000000006,1.30,1.30,underperform,altr,3120000000.0,9.76,50000000.0,19.08,1370181404.0,45.83880470154586,39.090909090909086
131,0.55,4.90,10150000000.0,3.08,7.24,2011-07-22 14:48:30,43.47626036519872,0.55,55.37,28.20,10150000000.0,55.37,17.22,38.09,47652000.0,1.58,100.80,10150000000.0,10293000.0,28.88,1.18,57.0,11.58,17.70,17.46,10.69,12.52,17.22,41.30,3.28,1345.02002,570000.0,3.70,4.70,outperform,alxn,34878000.0,1.90,6523000.0,104.06,1311360510.0,15.576371213748653,59.05263157894737
132,0.53,5.17,12000000000.0,3.73,0.22,2011-09-28 11:28:44,65.72679895322723,0.61,59.54,59.60,12000000000.0,59.54,18.47,40.85,47652000.0,1.58,100.80,12000000000.0,11590000.0,28.94,1.53,66.0,12.96,19.04,17.85,11.35,13.28,18.47,47.60,3.59,1151.060059,547000.0,3.60,4.00,outperform,alxn,36801000.0,1.99,206000.0,109.28,1317223724.0,-1.0904353168635952,64.63636363636364
133,0.61,9.64,39644000.0,3.90,8.60,2012-11-07 01:50:15,54.23594451843895,1.13,43.82,40.60,16860000000.0,43.82,16.19,32.72,69029000.0,1.27,97.80,16860000000.0,22202000.0,35.20,1.16,90.0,9.40,16.90,21.33,12.02,15.17,16.19,44.20,5.54,1394.530029,516000.0,3.20,5.30,outperform,alxn,90553000.0,4.66,16100000.0,79.93,1352271015.0,19.830722148227714,74.06666666666666
134,0.56,9.64,39644000.0,3.90,8.60,2013-02-06 13:28:04,45.496455853920516,1.13,46.21,40.60,17770000000.0,46.21,17.07,34.16,69029000.0,1.27,97.80,17770000000.0,22202000.0,35.20,1.27,95.0,9.89,17.79,21.33,12.02,15.17,17.07,44.20,5.54,1512.119995,438999.99999999994,2.70,3.50,outperform,alxn,90553000.0,4.66,16100000.0,84.35,1360175284.0,29.935123093447906,75.43157894736842
135,0.54,10.72,39430000.0,5.24,7.13,2013-05-16 20:58:25,35.06767591879274,1.46,42.88,81.00,19450000000.0,42.88,15.83,31.23,1060000000.0,1.15,96.90,19450000000.0,29163000.0,35.54,1.37,101.0,9.82,16.71,23.74,11.60,17.66,15.83,38.50,6.37,1650.469971,434000.0,2.50,2.30,outperform,alxn,1020000000.0,5.24,14900000.0,69.88,1368752305.0,41.82341319011815,76.89108910891089
136,2.347,5.097,83845000.0,4.769,0.065,2004-06-20 10:05:12,-22.367613013230475,0.251,28.54,155.40,25390000000.0,28.54,4.31,15.12,1600000000.0,0.87,70.02,30740000000.0,43437000.0,9.00,0.88,18.14,3.60,5.28,7.38,4.18,5.33,4.31,11.60,3.444,1132.050049,2728000.0,1.62,0.72,underperform,amat,5910000000.0,3.49,55891999.99999999,72.27,1087740312.0,8.144900775082744,-14.22271223814773
137,2.276,5.361,1390000000.0,4.595,0.061,2004-09-16 23:22:07,-30.808447119375927,0.529,14.43,155.40,22870000000.0,14.43,3.25,14.72,1600000000.0,0.87,69.02,28500000000.0,91175000.0,17.50,0.94,16.78,3.13,4.05,12.97,8.46,10.88,3.25,11.60,4.074,1123.5,3669000.0,2.18,1.204,underperform,amat,6600000000.0,3.88,55832000.00000001,31.72,1095391327.0,7.328113388744237,-23.48033373063169
138,2.305,5.361,1390000000.0,4.595,0.061,2004-10-18 20:51:33,-37.06561692731478,0.529,13.01,155.40,20620000000.0,13.01,2.93,15.25,1600000000.0,0.87,68.73,26930000000.0,91175000.0,17.50,1.03,15.86,2.93,3.79,12.97,8.46,10.88,2.93,11.60,4.074,1114.02002,4110000.0,2.44,1.231,underperform,amat,6600000000.0,3.88,55832000.00000001,29.98,1098147093.0,6.422489562875937,-30.64312736443884
139,2.292,5.501,1390000000.0,4.494,0.049,2004-12-09 07:35:16,-33.58510234951031,0.787,13.44,155.40,23700000000.0,13.44,2.96,17.62,1600000000.0,0.31,68.22,29330000000.0,1350000000.0,22.01,1.63,17.27,3.19,3.72,16.86,12.03,15.61,2.96,11.60,4.652,1189.23999,3764000.0,2.22,1.054,underperform,amat,6580000000.0,3.87,45630000.0,21.94,1102595716.0,13.608263901334283,-19.976838448176025
140,1.27,6.49,10140000000.0,3.13,22.77,2011-09-25 19:13:07,-115.107031679349,1.45,3.36,287.00,10140000000.0,3.36,0.90,10.59,3720000000.0,0.13,79.30,10140000000.0,1940000000.0,24.58,0.85,10.0,1.60,1.22,17.28,13.89,24.50,0.90,10.70,8.48,1129.560059,2348000.0,2.10,1.20,underperform,amat,5760000000.0,4.37,1950000000.0,7.30,1316992387.0,7.907031679349018,-107.19999999999999
141,1.56,6.74,2140000000.0000002,2.44,23.34,2012-09-18 07:09:26,-127.77267653697336,0.83,7.77,54.20,14560000000.0,7.77,1.57,14.74,4360000000.0,0.20,79.30,14560000000.0,1080000000.0,16.09,2.03,11.0,1.77,1.60,11.66,6.79,12.78,1.57,15.90,7.18,1459.319946,1850000.0,1.40,1.60,underperform,amat,2160000000.0,1.75,1950000000.0,14.33,1347966566.0,39.409040173337004,-88.36363636363636
142,1.56,6.74,2140000000.0000002,2.44,23.34,2012-10-17 10:51:48,-127.92457786778073,0.83,7.12,54.20,13340000000.0,7.12,1.44,15.14,4360000000.0,0.25,77.50,13340000000.0,1080000000.0,16.09,1.90,11.0,1.66,1.50,11.66,6.79,12.78,1.44,15.90,7.18,1460.910034,1829000.0,1.40,1.40,underperform,amat,2160000000.0,1.75,1950000000.0,13.45,1350485508.0,39.56094150414437,-88.36363636363636
143,1.54,5.95,1690000000.0,2.42,27.25,2013-04-25 00:13:15,-110.81517690527195,0.02,11.74,70.90,15710000000.0,11.74,1.94,12.86,3310000000.0,0.41,78.60,15710000000.0,2600000.0,11.38,2.41,13.0,2.26,1.99,0.32,4.55,0.33,1.94,28.10,6.53,1585.160034,1505000.0,1.30,1.30,underperform,amat,1750000000.0,1.46,1950000000.0,649.05,1366863195.0,51.43056152065658,-59.38461538461538
144,1.54,5.95,1690000000.0,2.42,27.25,2013-04-26 00:41:19,-99.15160930567473,0.02,11.74,70.90,15710000000.0,11.74,1.94,13.35,3310000000.0,0.41,78.60,15710000000.0,2600000.0,11.38,2.41,14.0,2.29,2.02,0.32,4.55,0.33,1.94,28.10,6.53,1582.23999,1505000.0,1.30,1.30,underperform,amat,1750000000.0,1.46,1950000000.0,673.81,1366951279.0,51.151609305674725,-47.99999999999999
145,0.563,15.639,3700000000.0,2.206,0.259,2005-03-25 04:19:49,-26.545384983958385,1.80,19.84,4.60,73040000000.0,19.84,6.92,17.98,8820000000.0,0.68,68.47,73890000000.0,2360000000.0,31.73,1.13,58.98,3.76,6.99,22.40,8.81,12.07,6.92,26.30,7.992,1171.709961,1916000.0,1.54,2.552,underperform,amgn,5810000000.0,4.64,5110000000.0,32.86,1111738789.0,14.84650400735615,-11.698880976602236
146,0.563,15.639,3700000000.0,2.206,0.259,2005-04-03 20:54:40,-30.590471205838885,1.80,19.33,4.60,71150000000.0,19.33,6.74,17.48,8820000000.0,0.68,68.36,71840000000.0,2360000000.0,31.73,1.10,57.35,3.72,6.91,22.40,8.81,12.07,6.74,26.30,7.992,1180.589966,1859000.0,1.49,2.45,underperform,amgn,5810000000.0,4.64,5110000000.0,31.95,1112576080.0,15.716887945158861,-14.873583260680023
147,0.50,27.72,45600000000.0,5.56,54.38,2011-09-02 18:17:06,-37.068021495609074,4.81,7.13,2.70,45600000000.0,7.13,2.98,9.73,12830000000.0,0.12,80.60,45600000000.0,4550000000.0,34.88,1.45,54.0,1.98,3.32,29.72,7.62,18.67,2.98,4.10,16.30,1173.969971,1170000.0,1.30,1.40,underperform,amgn,19170000000.0,20.75,13930000000.0,11.37,1315001826.0,15.068021495609083,-21.999999999999993
148,0.62,26.80,44760000000.0,4.60,60.57,2011-11-03 07:54:04,-45.613074998167825,4.04,7.07,63.30,44760000000.0,7.07,2.90,9.66,12830000000.0,0.12,80.60,44760000000.0,3770000000.0,34.23,1.39,54.0,2.05,3.12,24.41,7.40,15.84,2.90,3.40,16.67,1261.150024,2112000.0,2.30,3.70,underperform,amgn,17680000000.0,20.11,14260000000.0,13.57,1320321244.0,23.613074998167832,-21.999999999999993
149,0.60,26.80,5540000000.0,4.60,60.57,2012-01-03 15:47:25,-28.11001543923502,4.04,8.38,63.30,52870000000.0,8.38,3.42,11.05,12830000000.0,0.12,80.60,52870000000.0,3770000000.0,33.97,1.60,64.0,2.40,3.64,24.41,7.35,15.84,3.42,3.40,16.67,1277.060059,3861000.0,4.10,3.50,underperform,amgn,17680000000.0,20.17,14260000000.0,16.01,1325623645.0,25.172515439235028,-2.937499999999993
150,0.62,24.16,5060000000.0,3.24,113.43,2012-06-10 01:02:37,-25.772614339379444,4.26,8.71,5.20,55600000000.0,8.71,3.50,10.14,13160000000.0,0.12,81.60,55600000000.0,3740000000.0,33.61,1.09,68.0,2.86,3.39,23.57,7.25,17.06,3.50,7.90,18.26,1314.98999,1446000.0,1.80,3.50,underperform,amgn,19370000000.0,24.91,21410000000.0,16.15,1339304557.0,28.89026139820298,3.117647058823536
151,0.54,25.20,5880000000.0,3.81,139.19,2013-04-25 00:13:31,-18.717443889391603,5.52,12.14,15.60,85830000000.0,12.14,4.97,12.64,14350000000.0,0.13,81.00,85830000000.0,4340000000.0,34.66,1.60,104.0,4.47,4.89,25.17,7.25,22.82,4.97,17.10,22.28,1585.160034,1025000.0,1.40,2.30,underperform,amgn,24060000000.0,32.15,26530000000.0,19.01,1366863211.0,55.371290043237764,36.65384615384616
152,0.54,26.00,5960000000.0,5.58,122.58,2013-05-21 08:37:22,-28.192882275265667,5.91,11.60,21.10,81840000000.0,11.60,4.69,12.37,14350000000.0,0.13,81.00,81840000000.0,4600000000.0,34.08,1.58,102.0,3.93,4.39,26.33,7.37,23.95,4.69,4.70,22.82,1669.160034,978999.9999999999,1.30,2.10,underperform,amgn,21270000000.0,28.36,23890000000.0,17.30,1369139842.0,63.60464698114803,35.41176470588236
153,2.19,44.49,14100000000.0,1.15,80.07,2011-10-09 04:44:07,-5.306579564101464,4.57,4.68,19.30,14100000000.0,4.68,1.33,6.27,8289999999.999999,0.16,87.20,14100000000.0,1250000000.0,27.27,0.59,39.0,0.91,0.91,11.11,1.41,10.28,1.33,6.10,42.05,1164.969971,370000.0,1.50,1.10,underperform,amp,4120000000.0,17.43,8990000000.0,8.55,1318149847.0,-7.437010179488275,-12.74358974358974
154,1.66,44.58,1500000000.0,2.23,96.49,2013-04-22 01:29:35,14.781714645604264,4.62,7.05,64.80,18920000000.0,7.05,1.84,9.41,8410000000.0,0.16,88.80,18920000000.0,1030000000.0,23.96,0.72,72.0,1.56,1.38,10.03,1.15,9.31,1.84,3.50,46.91,1562.5,409000.0,2.00,2.40,outperform,amp,5140000000.0,25.27,9370000000.0,15.62,1366608575.0,24.148840909951293,38.93055555555556
155,0.48,8.99,27170000000.0,0.70,158.39,2011-10-07 04:27:26,68.91943781144597,0.96,19.83,15.60,27170000000.0,19.83,12.23,40.58,1510000000.0,1.00,95.10,27170000000.0,38401000.0,38.76,2.69,55.0,6.12,9.82,17.29,5.50,10.88,12.23,27.10,5.57,1155.459961,633000.0,1.60,1.90,outperform,amt,33389999.999999996,0.84,5700000000.0,57.91,1317976046.0,11.771471279463116,80.69090909090909
156,0.29,8.82,1280000000.0,1.00,203.24,2012-07-06 19:09:53,53.7858803278951,1.32,21.63,141.00,34920000000.0,21.63,13.55,34.75,1820000000.0,0.05,92.90,34920000000.0,52592999.99999999,40.38,2.26,70.0,8.08,10.90,20.41,5.56,14.10,13.55,23.80,6.53,1354.680054,438999.99999999994,1.10,1.80,outperform,amt,47126000.0,1.19,7290000000.0,53.74,1341616193.0,31.04269110067634,84.82857142857144
157,0.14,9.28,1410000000.0,1.21,234.16,2013-05-15 18:14:17,26.745529792199576,1.47,21.95,22.50,41280000000.0,21.95,13.84,32.11,2150000000.0,0.05,94.50,41280000000.0,58738000.0,40.25,1.61,83.0,9.02,11.10,19.70,5.54,14.78,13.84,15.20,7.55,1658.780029,385000.0,1.00,2.00,outperform,amt,44171000.0,1.12,8850000000.0,57.02,1368656057.0,60.45928948490885,87.20481927710843
158,0.622,15.253,13169999.999999998,1.017,0.979,2004-09-17 02:01:15,-15.186085425956996,1.33,10.48,25.60,8270000000.0,10.48,0.42,11.15,2960000000.0,38.00,76.88,4520000000.0,37140000.0,3.65,1.14,16.95,1.09,0.23,1.90,4.19,9.35,0.42,0.50,69.951,1128.550049,1118000.0,6.76,9.655,underperform,an,5680000.0,0.21,4000000000.0,12.74,1095400875.0,9.168386310912751,-6.017699115044246
159,0.77,16.132,42070000.0,1.078,0.781,2005-04-05 07:47:49,-10.427443888542108,1.45,9.63,9.50,8189999999.999999,9.63,0.42,11.40,3010000000.0,29.46,77.42,4970000000.0,39640000.0,3.95,1.26,18.69,1.16,0.26,2.04,4.47,9.55,0.42,0.20,71.283,1181.390015,1311000.0,7.00,14.332,underperform,an,10720000.0,0.4,3330000000.0,12.89,1112701669.0,14.279771336375186,3.852327447833079
160,0.793,16.451,43680000.0,1.071,0.773,2005-05-28 13:14:24,-5.8711877773942405,1.64,9.769,11.10,8510000000.0,9.769,0.44,12.00,3010000000.0,1.37,76.50,5200000000.0,39620000.0,4.05,1.30,19.8,1.19,0.27,2.28,5.53,9.53,0.44,0.30,73.217,1190.01001,1212000.0,4.70,11.7,underperform,an,2870000.0,0.109,3340000000.0,12.11,1117300464.0,15.113612019818493,9.242424242424253
161,1.34,14.01,8029999999.999999,1.10,154.65,2011-03-12 05:47:25,17.855543398679366,1.43,14.00,9.10,8029999999.999999,14.00,0.65,15.94,2130000000.0,72.52,40.00,8029999999.999999,23530000.0,3.99,1.02,33.0,2.35,0.39,1.82,5.46,10.74,0.65,16.20,79.42,1320.02002,1232000.0,14.10,9.10,outperform,an,9510000.0,0.64,3220000000.0,23.49,1299926845.0,27.68991114677518,45.54545454545455
162,1.33,14.39,7800000000.0,1.09,139.76,2011-05-22 03:33:08,15.574576109649254,1.56,12.99,25.70,7800000000.0,12.99,0.60,15.46,2130000000.0,30.74,74.10,7800000000.0,24680000.0,4.03,0.92,33.0,2.35,0.39,1.86,5.73,11.05,0.60,16.70,85.38,1343.599976,1341000.0,20.30,14.00,outperform,an,8430000.0,0.57,2990000000.0,21.17,1306049588.0,29.970878435805293,45.54545454545455
163,1.33,14.39,7880000000.0,1.09,139.76,2011-06-04 10:52:17,18.384671821266043,1.56,13.13,25.70,7880000000.0,13.13,0.61,15.80,2130000000.0,30.74,74.10,7880000000.0,24680000.0,4.03,0.93,33.0,2.37,0.39,1.86,5.73,11.05,0.61,16.70,85.38,1314.550049,1328000.0,20.10,14.40,outperform,an,8430000.0,0.57,2990000000.0,21.54,1307199137.0,27.160782724188504,45.54545454545455
164,1.33,14.39,8020000000.0,1.09,139.76,2011-06-22 11:44:19,22.637739526380514,1.56,13.36,25.70,8020000000.0,13.36,0.62,16.25,2130000000.0,30.74,74.10,8020000000.0,24680000.0,4.03,0.96,34.0,2.41,0.40,1.86,5.73,11.05,0.62,16.70,85.38,1287.140015,1256000.0,19.00,20.50,outperform,an,8430000.0,0.57,2990000000.0,22.15,1308757459.0,24.5093192971489,47.14705882352941
165,1.33,14.39,8289999999.999999,1.09,139.76,2011-06-29 09:02:27,23.613227922460606,1.56,13.81,25.70,8289999999.999999,13.81,0.64,17.10,2130000000.0,30.74,74.10,8289999999.999999,24680000.0,4.03,0.96,36.0,2.53,0.42,1.86,5.73,11.05,0.64,16.70,85.38,1307.410034,1212000.0,18.30,13.70,outperform,an,8430000.0,0.57,2990000000.0,23.30,1309352547.0,26.47010541087273,50.083333333333336
166,1.13,14.52,8250000000.0,1.13,147.35,2011-08-16 15:42:33,33.27751422368722,1.76,13.31,52.30,8250000000.0,13.31,0.63,16.42,2130000000.0,30.74,74.10,8250000000.0,27010000.000000004,4.10,0.97,35.0,2.46,0.40,2.02,5.90,13.22,0.63,7.50,89.06,1192.76001,1151000.0,17.40,13.80,outperform,an,8180000.0,0.56,3120000000.0,20.15,1313523753.0,15.379628633455637,48.65714285714286
167,0.86,12.67,37080000.0,1.06,271.59,2012-07-28 07:42:49,25.656465014820228,2.15,13.02,9.30,8930000000.0,13.02,0.61,14.33,2300000000.0,29.97,69.70,8930000000.0,29310000.000000004,4.08,0.76,40.0,3.09,0.32,1.98,6.07,16.09,0.61,17.00,110.30,1337.890015,848000.0,21.20,13.80,outperform,an,6210000.0,0.52,4150000000.0000005,18.68,1343475769.0,29.418534985179782,55.07500000000001
168,0.94,14.73,45160000.0,1.04,251.78,2013-05-14 09:51:37,0.4238124465375108,2.64,13.08,13.70,10020000000.0,13.08,0.62,13.93,2490000000.0,57.06,2.60,10020000000.0,32700000.0,4.20,0.79,45.0,3.11,0.35,2.03,6.26,19.50,0.62,12.00,132.60,1650.339966,288000.0,5.70,4.10,outperform,an,4630000.0,0.38,4500000000.0,17.36,1368539497.0,59.64285422012916,60.06666666666667
169,1.583,9.057,30423000.0,2.688,2.688,2004-04-11 04:03:14,1.1667064960983886,2.073,8.14,15.60,2700000000.0,8.14,1.58,12.85,65604999.99999999,0.48,87.25,3220000000.0,20510000.0,19.42,0.85,33.4,3.99,2.04,12.01,18.74,25.60,1.58,16.90,17.195,1139.319946,521000.0,5.42,2.417,outperform,anf,52107000.00000001,5.4,2.688,16.11,1081670594.0,10.629700689530347,11.796407185628736
170,1.602,10.298,28189999.999999996,2.688,2.688,2004-06-07 20:30:50,9.920628672542879,2.073,7.35,5.20,2930000000.0,7.35,1.71,13.80,71740000.0,0.37,92.22,3510000000.0,20510000.0,19.42,0.91,37.13,3.54,2.02,12.01,18.74,25.60,1.71,7.00,17.195,1140.420044,339000.0,3.60,2.106,outperform,anf,52107000.00000001,5.52,2.688,17.91,1086654650.0,10.73652187957132,20.6571505521142
171,1.587,9.371,33651000.0,2.946,2.946,2004-08-10 03:04:16,7.230738479042245,2.123,6.27,5.20,2560000000.0,6.27,1.45,12.26,71740000.0,0.41,88.92,3180000000.0,20923000.0,19.10,0.80,33.48,3.49,1.75,11.80,18.55,25.24,1.45,7.00,17.986,1079.040039,348000.0,3.68,2.506,outperform,anf,53736000.0,5.66,2.946,15.77,1092121456.0,4.776429979739108,12.007168458781353
172,1.56,9.774,34130000.0,2.617,2.617,2004-10-12 05:47:19,12.04402682106585,2.214,6.78,5.20,2880000000.0,6.78,1.58,14.02,71740000.0,0.38,95.00,3530000000.0,21726000.0,19.34,0.91,37.28,3.74,1.90,11.95,18.30,25.30,1.58,7.00,18.569,1121.839966,396000.0,4.21,1.937,outperform,anf,58215000.0,6.16,2.617,16.84,1097574439.0,8.932368028719557,20.976394849785407
173,1.865,8.74,36459000.0,1.958,1.958,2005-01-28 05:22:27,27.054982697472056,2.126,9.55,5.20,3890000000.0,9.55,2.05,17.34,71740000.0,7.06,95.00,4340000000.0,20690000.0,17.56,1.15,49.76,5.69,2.29,10.92,16.98,24.01,2.05,7.00,19.529,1171.359985,376000.0,4.65,2.112,outperform,anf,44341000.0,5.09,1.958,23.41,1106907747.0,13.740837238219259,40.79581993569131
174,1.798,7.349,36459000.0,1.597,1.597,2005-02-27 08:07:02,29.13458336059804,2.29,12.52,5.20,4380000000.0,12.52,2.16,15.86,71740000.0,7.06,95.00,4730000000.0,21749000.0,17.29,1.06,54.23,7.37,2.34,10.76,16.79,27.08,2.16,7.00,21.252,1200.199951,334000.0,4.12,1.829,outperform,anf,35037000.0,4.02,1.597,23.70,1109509622.0,16.541241828411724,45.675825189009764
175,1.66,21.70,5540000000.0,2.23,1.39,2011-10-23 13:43:24,39.288127665491444,2.20,9.38,64.40,5540000000.0,9.38,1.46,14.82,2210000000.0,1.31,98.40,5540000000.0,19901000.0,9.45,1.20,69.0,3.21,1.60,5.27,7.74,10.74,1.46,22.90,43.24,1215.390015,599000.0,8.00,2.40,outperform,anf,53961000.0,6.21,2629000.0,31.62,1319391804.0,18.016220160595505,57.30434782608695
176,1.64,21.70,4420000000.0,2.23,1.39,2011-11-15 05:16:26,26.18051848155283,2.20,7.48,64.40,4420000000.0,7.48,1.17,12.75,2210000000.0,1.31,98.40,4420000000.0,19901000.0,9.45,1.02,57.0,2.62,1.30,5.27,7.74,10.74,1.17,22.90,43.24,1257.810059,667000.0,8.90,3.20,outperform,anf,53961000.0,6.21,2629000.0,25.99,1321352186.0,22.135270992131375,48.315789473684205
177,1.50,22.16,40372000.0,2.06,1.36,2011-12-27 06:24:14,15.749815896485494,2.23,6.24,1.70,3710000000.0,6.24,0.93,11.42,2210000000.0,1.31,98.40,3710000000.0,19988000.0,9.03,0.90,48.0,2.23,1.07,5.04,7.48,10.58,0.93,21.50,45.58,1265.430054,550000.0,7.40,1.20,outperform,anf,48834000.0,5.68,2632000.0,21.80,1324985054.0,22.875184103514506,38.625
178,2.21,20.51,33088000.0,2.04,3.88,2012-06-10 08:21:25,-19.750029314463962,1.19,4.69,88.10,2360000000.0,4.69,0.56,7.53,2520000000.0,1.43,92.80,2360000000.0,10550000.0,6.43,0.49,32.0,1.57,0.63,2.49,6.06,5.86,0.56,10.10,49.23,1314.98999,542000.0,7.60,2.10,underperform,anf,35952000.0,4.36,6570999.999999999,27.03,1339330885.0,27.68752931446396,7.937499999999997
179,2.17,20.54,34604000.0,1.78,8.13,2012-10-14 07:23:23,-31.19344134013944,1.03,5.33,51.60,2530000000.0,5.33,0.59,10.84,2520000000.0,1.40,93.80,2530000000.0,8899000.0,5.81,0.77,32.0,1.63,0.65,2.08,5.36,4.97,0.59,3.80,50.32,1432.839966,978999.9999999999,13.80,3.80,underperform,anf,33226000.0,4.02,13783000.000000002,31.85,1350213803.0,39.13094134013944,7.937499999999997
180,2.21,20.54,34604000.0,1.78,8.13,2012-11-07 15:11:00,-22.058046977011692,1.03,5.52,51.60,2620000000.0,5.52,0.61,11.30,2520000000.0,1.40,93.80,2620000000.0,8899000.0,5.81,0.80,34.0,1.66,0.66,2.08,5.36,4.97,0.61,3.80,50.32,1394.530029,1010000.0,14.20,4.70,underperform,anf,33226000.0,4.02,13783000.000000002,32.99,1352319060.0,35.41098815348228,13.352941176470587
181,1.54,13.52,18671000.0,3.412,3.412,2004-09-23 14:25:10,-42.61564848105634,1.694,5.85,25.90,1540000000.0,5.85,0.88,12.25,86624000.0,1.22,95.00,1820000000.0,12382000.0,11.94,0.85,25.48,1.90,1.05,7.07,10.72,14.64,0.88,15.00,23.475,1108.359985,145000.0,2.05,1.122,underperform,ann,34720000.0,4.86,3.412,15.04,1095963910.0,7.215334509313795,-35.40031397174254
182,1.586,13.52,18671000.0,3.412,3.412,2004-10-13 23:19:29,-63.977057513236865,1.694,4.71,25.90,1240000000.0,4.71,0.71,11.94,86624000.0,2.06,95.00,1580000000.0,12382000.0,11.94,0.80,22.08,1.65,0.91,7.07,10.72,14.64,0.71,15.00,23.475,1113.650024,221000.0,3.16,1.531,underperform,ann,34720000.0,4.86,3.412,13.03,1097723969.0,7.7270575132368515,-56.250000000000014
183,1.706,13.402,9670000.0,3.2,3.2,2005-02-07 11:27:26,-66.83561768560311,1.47,6.01,25.90,1430000000.0,6.01,0.79,19.42,86624000.0,2.08,90.23,1620000000.0,10776000.0,9.98,1.29,22.91,1.63,0.85,5.94,9.16,12.17,0.79,15.00,24.529,1201.719971,426000.0,6.17,3.547,underperform,ann,18873000.0,2.67,3.2,15.54,1107793646.0,16.246355354743223,-50.58926233085989
184,1.523,13.121,16926000.0,2.41,2.41,2005-04-19 08:16:27,-56.16632062598927,0.83,7.92,37.30,1450000000.0,7.92,0.78,16.22,94755000.0,0.81,89.84,1710000000.0,6328000.0,5.66,1.05,23.85,1.82,0.92,3.41,5.14,6.65,0.78,16.70,25.415,1152.780029,564000.0,7.93,3.762,underperform,ann,25481000.0,3.55,2.41,28.77,1113912987.0,11.512232575674819,-44.654088050314456
185,0.51,25.71,18880000000.0,1.14,53.53,2011-08-18 09:21:16,0.0,2.67,9.41,68.60,18880000000.0,9.41,1.84,12.02,8510000000.0,4.11,86.00,18880000000.0,87600000.0,14.84,1.53,46.0,1.81,1.47,8.55,3.50,13.01,1.84,48.10,31.71,1140.650024,264000.0,0.80,1.50,underperform,aon,81500000.0,2.50,4530000000.0,17.41,1313673676.0,0.0,0.0
186,0.73,25.47,1410000000.0,1.14,55.30,2011-12-21 15:02:05,-9.036071085025458,2.72,8.41,37.50,18480000000.0,8.41,1.65,12.67,8510000000.0,4.11,86.00,18480000000.0,93000000.0,14.60,1.43,46.0,1.80,1.32,8.33,3.92,13.71,1.65,51.20,33.17,1243.719971,478000.0,1.50,1.80,underperform,aon,90200000.0,2.79,4580000000.0,16.98,1324497725.0,9.036071085025458,0.0
187,0.73,25.47,1410000000.0,1.14,55.30,2011-12-28 18:42:02,-9.555077254791687,2.72,8.60,37.50,18910000000.0,8.60,1.69,12.89,8510000000.0,4.11,86.00,18910000000.0,93000000.0,14.60,1.49,46.0,1.85,1.36,8.33,3.92,13.71,1.69,51.20,33.17,1249.640015,478000.0,1.50,1.80,underperform,aon,90200000.0,2.79,4580000000.0,17.27,1325115722.0,9.555077254791687,0.0
